IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
141.147.179.64,2082,2082,false,NRT,Asia Pacific,Tokyo,72,8.89
131.186.44.38,8443,8443,true,NRT,Asia Pacific,Tokyo,95,8.85
140.238.48.97,2052,2052,false,NRT,Asia Pacific,Tokyo,71,8.81
141.147.166.95,2086,2086,false,NRT,Asia Pacific,Tokyo,70,8.80
132.145.120.182,8880,8880,false,NRT,Asia Pacific,Tokyo,69,8.80
140.238.50.32,2096,2096,true,NRT,Asia Pacific,Tokyo,160,8.72
131.186.40.31,80,80,false,HKG,Asia Pacific,Hong Kong,130,8.69
158.101.159.181,80,80,false,NRT,Asia Pacific,Tokyo,71,8.67
132.145.120.95,8443,8443,true,NRT,Asia Pacific,Tokyo,97,8.65
158.101.137.74,2087,2087,true,NRT,Asia Pacific,Tokyo,78,8.54
