IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
158.101.137.74,2052,2052,false,NRT,Asia Pacific,Tokyo,114,13.37
141.147.162.71,2053,2053,true,NRT,Asia Pacific,Tokyo,139,13.35
168.138.212.184,2096,2096,true,NRT,Asia Pacific,Tokyo,105,13.34
150.230.216.117,2087,2087,true,NRT,Asia Pacific,Tokyo,332,13.34
130.162.159.166,443,443,true,SIN,Asia Pacific,Singapore,85,13.33
158.101.149.52,2086,2086,false,NRT,Asia Pacific,Tokyo,110,13.33
132.145.112.168,2082,2082,false,NRT,Asia Pacific,Tokyo,98,13.33
138.2.13.133,2086,2086,false,NRT,Asia Pacific,Tokyo,276,13.32
141.147.178.202,2053,2053,true,NRT,Asia Pacific,Tokyo,107,13.32
152.70.111.251,2083,2083,true,NRT,Asia Pacific,Tokyo,330,13.31
158.179.189.106,2087,2087,true,NRT,Asia Pacific,Tokyo,269,13.30
151.145.71.127,2053,2053,true,NRT,Asia Pacific,Tokyo,111,13.29
168.138.212.40,2083,2083,true,NRT,Asia Pacific,Tokyo,108,13.29
158.179.186.251,8880,8880,false,NRT,Asia Pacific,Tokyo,122,13.28
168.138.200.159,2053,2053,true,NRT,Asia Pacific,Tokyo,227,13.28
158.101.146.165,8880,8880,false,NRT,Asia Pacific,Tokyo,288,13.28
141.147.181.148,8880,8880,false,NRT,Asia Pacific,Tokyo,95,13.27
140.238.48.97,2095,2095,false,NRT,Asia Pacific,Tokyo,292,13.27
141.147.189.242,2087,2087,true,NRT,Asia Pacific,Tokyo,357,13.26
132.145.122.95,2087,2087,true,NRT,Asia Pacific,Tokyo,294,13.26
168.138.200.159,8443,8443,true,NRT,Asia Pacific,Tokyo,242,13.26
141.147.189.242,2086,2086,false,NRT,Asia Pacific,Tokyo,100,13.26
158.179.180.109,8880,8880,false,NRT,Asia Pacific,Tokyo,118,13.24
158.101.131.218,8443,8443,true,NRT,Asia Pacific,Tokyo,259,13.24
141.147.162.71,2095,2095,false,NRT,Asia Pacific,Tokyo,88,13.23
158.101.157.173,2083,2083,true,NRT,Asia Pacific,Tokyo,330,13.22
152.70.106.21,80,80,false,NRT,Asia Pacific,Tokyo,307,13.22
140.238.35.195,2096,2096,true,NRT,Asia Pacific,Tokyo,97,13.22
168.138.211.131,2086,2086,false,NRT,Asia Pacific,Tokyo,353,13.22
155.248.162.160,2082,2082,false,NRT,Asia Pacific,Tokyo,298,13.22
141.147.191.211,2082,2082,false,NRT,Asia Pacific,Tokyo,294,13.21
158.179.178.145,8880,8880,false,NRT,Asia Pacific,Tokyo,120,13.20
158.101.69.12,8080,8080,false,NRT,Asia Pacific,Tokyo,109,13.20
168.138.212.175,2082,2082,false,NRT,Asia Pacific,Tokyo,306,13.20
158.101.143.49,2095,2095,false,NRT,Asia Pacific,Tokyo,99,13.20
158.179.178.145,2095,2095,false,NRT,Asia Pacific,Tokyo,107,13.20
140.238.60.71,2086,2086,false,NRT,Asia Pacific,Tokyo,98,13.20
158.179.183.2,2052,2052,false,NRT,Asia Pacific,Tokyo,312,13.19
131.186.39.42,2095,2095,false,NRT,Asia Pacific,Tokyo,90,13.19
158.101.155.158,2086,2086,false,NRT,Asia Pacific,Tokyo,114,13.19
151.145.74.56,80,80,false,NRT,Asia Pacific,Tokyo,117,13.19
141.147.178.202,2087,2087,true,NRT,Asia Pacific,Tokyo,328,13.18
158.179.190.253,2086,2086,false,NRT,Asia Pacific,Tokyo,110,13.18
168.138.217.146,2082,2082,false,NRT,Asia Pacific,Tokyo,285,13.18
168.138.206.236,2095,2095,false,NRT,Asia Pacific,Tokyo,121,13.18
158.179.188.95,2096,2096,true,NRT,Asia Pacific,Tokyo,142,13.17
158.179.184.166,80,80,false,NRT,Asia Pacific,Tokyo,352,13.17
151.145.68.166,2095,2095,false,NRT,Asia Pacific,Tokyo,107,13.17
158.179.188.159,8443,8443,true,NRT,Asia Pacific,Tokyo,115,13.17
152.70.106.13,2053,2053,true,NRT,Asia Pacific,Tokyo,107,13.16
152.70.106.185,2053,2053,true,NRT,Asia Pacific,Tokyo,127,13.15
158.179.186.138,2096,2096,true,NRT,Asia Pacific,Tokyo,126,13.15
168.138.209.84,2086,2086,false,NRT,Asia Pacific,Tokyo,114,13.15
140.238.58.42,2053,2053,true,NRT,Asia Pacific,Tokyo,85,13.14
131.186.44.38,80,80,false,NRT,Asia Pacific,Tokyo,290,13.14
151.145.68.166,2086,2086,false,NRT,Asia Pacific,Tokyo,94,13.14
138.3.212.226,2082,2082,false,NRT,Asia Pacific,Tokyo,294,13.13
150.230.107.197,8880,8880,false,NRT,Asia Pacific,Tokyo,117,13.12
168.138.217.146,8080,8080,false,NRT,Asia Pacific,Tokyo,113,13.12
141.147.168.37,2095,2095,false,NRT,Asia Pacific,Tokyo,257,13.12
158.101.150.74,2086,2086,false,NRT,Asia Pacific,Tokyo,103,13.12
151.145.65.203,2086,2086,false,NRT,Asia Pacific,Tokyo,89,13.11
158.101.145.246,2053,2053,true,NRT,Asia Pacific,Tokyo,301,13.11
152.70.99.218,2083,2083,true,NRT,Asia Pacific,Tokyo,326,13.10
138.3.216.67,2082,2082,false,NRT,Asia Pacific,Tokyo,94,13.10
158.101.144.189,8443,8443,true,NRT,Asia Pacific,Tokyo,120,13.09
138.3.216.67,2086,2086,false,NRT,Asia Pacific,Tokyo,303,13.09
131.186.46.75,2087,2087,true,NRT,Asia Pacific,Tokyo,293,13.09
158.101.150.126,8080,8080,false,NRT,Asia Pacific,Tokyo,91,13.09
158.101.88.214,8880,8880,false,NRT,Asia Pacific,Tokyo,304,13.08
132.145.113.148,80,80,false,NRT,Asia Pacific,Tokyo,89,13.07
155.248.176.98,8080,8080,false,NRT,Asia Pacific,Tokyo,314,13.07
141.147.178.115,2083,2083,true,NRT,Asia Pacific,Tokyo,122,13.07
158.101.154.70,2053,2053,true,NRT,Asia Pacific,Tokyo,125,13.07
158.179.179.70,2086,2086,false,NRT,Asia Pacific,Tokyo,120,13.06
168.138.217.146,80,80,false,NRT,Asia Pacific,Tokyo,116,13.06
168.138.208.164,2083,2083,true,NRT,Asia Pacific,Tokyo,287,13.06
141.147.186.210,80,80,false,NRT,Asia Pacific,Tokyo,92,13.05
151.145.65.8,2095,2095,false,NRT,Asia Pacific,Tokyo,303,13.03
158.179.178.142,8880,8880,false,NRT,Asia Pacific,Tokyo,124,13.03
168.138.202.145,2086,2086,false,NRT,Asia Pacific,Tokyo,320,13.03
141.147.167.44,2083,2083,true,NRT,Asia Pacific,Tokyo,280,13.03
150.230.97.239,8880,8880,false,NRT,Asia Pacific,Tokyo,110,13.02
132.145.123.238,2053,2053,true,NRT,Asia Pacific,Tokyo,71,13.01
158.179.186.251,2095,2095,false,NRT,Asia Pacific,Tokyo,117,12.99
168.138.192.185,8443,8443,true,NRT,Asia Pacific,Tokyo,106,12.99
158.101.70.155,2086,2086,false,NRT,Asia Pacific,Tokyo,338,12.98
131.186.43.207,80,80,false,NRT,Asia Pacific,Tokyo,89,12.98
158.101.140.255,2052,2052,false,NRT,Asia Pacific,Tokyo,93,12.98
150.230.219.83,2095,2095,false,NRT,Asia Pacific,Tokyo,103,12.97
131.186.63.35,2082,2082,false,NRT,Asia Pacific,Tokyo,84,12.97
158.101.149.122,2052,2052,false,NRT,Asia Pacific,Tokyo,119,12.97
141.147.164.54,8880,8880,false,NRT,Asia Pacific,Tokyo,70,12.97
152.70.98.174,2083,2083,true,NRT,Asia Pacific,Tokyo,135,12.96
158.101.159.212,2082,2082,false,NRT,Asia Pacific,Tokyo,340,12.96
150.230.107.94,2082,2082,false,NRT,Asia Pacific,Tokyo,100,12.96
168.138.196.237,2083,2083,true,NRT,Asia Pacific,Tokyo,334,12.95
168.138.192.185,80,80,false,NRT,Asia Pacific,Tokyo,338,12.95
131.186.36.248,2096,2096,true,NRT,Asia Pacific,Tokyo,329,12.95
158.101.140.255,2095,2095,false,NRT,Asia Pacific,Tokyo,83,12.95
141.147.191.132,2082,2082,false,NRT,Asia Pacific,Tokyo,296,12.95
158.101.146.165,2082,2082,false,NRT,Asia Pacific,Tokyo,98,12.95
158.101.158.238,8880,8880,false,NRT,Asia Pacific,Tokyo,306,12.94
132.145.125.165,2053,2053,true,NRT,Asia Pacific,Tokyo,254,12.94
158.101.90.190,2052,2052,false,NRT,Asia Pacific,Tokyo,122,12.92
151.145.75.28,2052,2052,false,NRT,Asia Pacific,Tokyo,314,12.92
168.138.206.68,2096,2096,true,NRT,Asia Pacific,Tokyo,100,12.91
140.238.33.150,80,80,false,NRT,Asia Pacific,Tokyo,106,12.89
158.101.149.52,80,80,false,NRT,Asia Pacific,Tokyo,120,12.89
155.248.176.28,8443,8443,true,NRT,Asia Pacific,Tokyo,304,12.88
141.147.179.64,2096,2096,true,NRT,Asia Pacific,Tokyo,125,12.88
168.138.196.237,2096,2096,true,NRT,Asia Pacific,Tokyo,285,12.87
155.248.169.71,2052,2052,false,NRT,Asia Pacific,Tokyo,89,12.87
131.186.41.82,2082,2082,false,NRT,Asia Pacific,Tokyo,94,12.86
155.248.176.68,80,80,false,NRT,Asia Pacific,Tokyo,109,12.86
138.2.15.8,2082,2082,false,NRT,Asia Pacific,Tokyo,73,12.86
168.138.213.210,2087,2087,true,NRT,Asia Pacific,Tokyo,129,12.86
132.145.117.216,2052,2052,false,NRT,Asia Pacific,Tokyo,89,12.85
158.179.178.145,2082,2082,false,NRT,Asia Pacific,Tokyo,358,12.85
158.101.139.42,2083,2083,true,NRT,Asia Pacific,Tokyo,316,12.85
158.101.69.12,2052,2052,false,NRT,Asia Pacific,Tokyo,315,12.84
131.186.44.38,8880,8880,false,NRT,Asia Pacific,Tokyo,92,12.84
158.178.246.169,2052,2052,false,SIN,Asia Pacific,Singapore,28,12.83
158.101.137.96,2096,2096,true,NRT,Asia Pacific,Tokyo,110,12.83
141.147.167.40,2052,2052,false,NRT,Asia Pacific,Tokyo,289,12.82
158.179.180.109,2096,2096,true,NRT,Asia Pacific,Tokyo,111,12.82
141.147.166.189,2053,2053,true,NRT,Asia Pacific,Tokyo,110,12.81
138.3.220.4,2087,2087,true,NRT,Asia Pacific,Tokyo,103,12.81
138.2.8.232,2083,2083,true,NRT,Asia Pacific,Tokyo,74,12.80
168.138.215.188,8880,8880,false,NRT,Asia Pacific,Tokyo,324,12.79
150.230.101.125,2082,2082,false,NRT,Asia Pacific,Tokyo,100,12.78
158.101.146.165,2096,2096,true,NRT,Asia Pacific,Tokyo,126,12.78
151.145.65.203,2087,2087,true,NRT,Asia Pacific,Tokyo,157,12.77
168.138.198.53,2086,2086,false,NRT,Asia Pacific,Tokyo,316,12.77
138.3.216.67,8880,8880,false,NRT,Asia Pacific,Tokyo,75,12.77
132.145.123.112,2053,2053,true,NRT,Asia Pacific,Tokyo,355,12.75
158.101.158.238,2083,2083,true,NRT,Asia Pacific,Tokyo,350,12.75
131.186.44.38,8443,8443,true,NRT,Asia Pacific,Tokyo,318,12.72
150.230.109.138,8880,8880,false,NRT,Asia Pacific,Tokyo,324,12.72
150.230.107.197,2052,2052,false,NRT,Asia Pacific,Tokyo,113,12.71
158.101.159.212,2096,2096,true,NRT,Asia Pacific,Tokyo,325,12.71
141.147.175.230,2095,2095,false,NRT,Asia Pacific,Tokyo,89,12.71
141.147.181.148,2086,2086,false,NRT,Asia Pacific,Tokyo,85,12.70
141.147.176.200,80,80,false,NRT,Asia Pacific,Tokyo,103,12.69
138.2.13.133,2096,2096,true,NRT,Asia Pacific,Tokyo,107,12.69
132.145.123.159,2052,2052,false,NRT,Asia Pacific,Tokyo,94,12.69
158.179.182.19,8443,8443,true,NRT,Asia Pacific,Tokyo,124,12.69
151.145.70.28,2095,2095,false,NRT,Asia Pacific,Tokyo,301,12.68
132.145.123.14,2082,2082,false,NRT,Asia Pacific,Tokyo,78,12.68
141.147.191.211,2087,2087,true,NRT,Asia Pacific,Tokyo,286,12.68
132.145.114.14,2053,2053,true,NRT,Asia Pacific,Tokyo,97,12.67
141.147.186.210,2083,2083,true,NRT,Asia Pacific,Tokyo,86,12.67
152.70.244.135,443,443,true,SIN,Asia Pacific,Singapore,90,12.67
158.179.184.166,2087,2087,true,NRT,Asia Pacific,Tokyo,352,12.67
158.101.150.74,8443,8443,true,NRT,Asia Pacific,Tokyo,342,12.67
141.147.191.211,8080,8080,false,NRT,Asia Pacific,Tokyo,298,12.66
158.179.186.138,80,80,false,NRT,Asia Pacific,Tokyo,107,12.66
131.186.62.26,8080,8080,false,NRT,Asia Pacific,Tokyo,97,12.65
140.238.61.224,2052,2052,false,NRT,Asia Pacific,Tokyo,100,12.64
140.238.35.78,2053,2053,true,NRT,Asia Pacific,Tokyo,95,12.64
151.145.75.28,2096,2096,true,NRT,Asia Pacific,Tokyo,105,12.63
158.101.149.52,2082,2082,false,NRT,Asia Pacific,Tokyo,290,12.63
150.230.109.252,8880,8880,false,NRT,Asia Pacific,Tokyo,95,12.63
152.70.98.174,2096,2096,true,NRT,Asia Pacific,Tokyo,124,12.63
151.145.68.166,80,80,false,NRT,Asia Pacific,Tokyo,92,12.63
132.145.124.198,2052,2052,false,NRT,Asia Pacific,Tokyo,94,12.62
138.2.2.199,8080,8080,false,NRT,Asia Pacific,Tokyo,79,12.62
168.138.200.159,2087,2087,true,NRT,Asia Pacific,Tokyo,94,12.62
141.147.191.211,2086,2086,false,NRT,Asia Pacific,Tokyo,107,12.60
140.238.32.184,2095,2095,false,NRT,Asia Pacific,Tokyo,301,12.60
140.238.48.97,2053,2053,true,NRT,Asia Pacific,Tokyo,262,12.60
131.186.35.189,80,80,false,NRT,Asia Pacific,Tokyo,94,12.60
132.145.125.86,2082,2082,false,NRT,Asia Pacific,Tokyo,90,12.60
158.101.139.42,8443,8443,true,NRT,Asia Pacific,Tokyo,237,12.59
168.138.212.40,8080,8080,false,NRT,Asia Pacific,Tokyo,278,12.59
155.248.169.71,2083,2083,true,NRT,Asia Pacific,Tokyo,115,12.59
158.101.155.158,2096,2096,true,NRT,Asia Pacific,Tokyo,318,12.58
141.147.185.149,8443,8443,true,NRT,Asia Pacific,Tokyo,168,12.58
141.147.174.190,2087,2087,true,NRT,Asia Pacific,Tokyo,111,12.58
152.70.106.185,8443,8443,true,NRT,Asia Pacific,Tokyo,124,12.58
151.145.68.104,8880,8880,false,NRT,Asia Pacific,Tokyo,324,12.57
141.147.167.44,80,80,false,NRT,Asia Pacific,Tokyo,327,12.56
150.230.192.173,2096,2096,true,NRT,Asia Pacific,Tokyo,108,12.56
158.101.65.24,80,80,false,NRT,Asia Pacific,Tokyo,295,12.55
141.147.179.211,2096,2096,true,NRT,Asia Pacific,Tokyo,169,12.55
158.179.189.235,2082,2082,false,NRT,Asia Pacific,Tokyo,102,12.54
131.186.63.127,2086,2086,false,NRT,Asia Pacific,Tokyo,90,12.54
158.179.190.253,8443,8443,true,NRT,Asia Pacific,Tokyo,346,12.52
158.179.178.142,2096,2096,true,NRT,Asia Pacific,Tokyo,335,12.52
158.179.174.199,443,443,true,SIN,Asia Pacific,Singapore,81,12.51
140.238.60.71,2095,2095,false,NRT,Asia Pacific,Tokyo,81,12.50
168.138.214.62,8443,8443,true,NRT,Asia Pacific,Tokyo,359,12.50
155.248.168.251,2095,2095,false,NRT,Asia Pacific,Tokyo,112,12.50
140.238.54.164,8080,8080,false,NRT,Asia Pacific,Tokyo,340,12.50
131.186.56.188,2052,2052,false,NRT,Asia Pacific,Tokyo,81,12.49
158.179.180.109,80,80,false,NRT,Asia Pacific,Tokyo,122,12.49
141.147.166.189,2083,2083,true,NRT,Asia Pacific,Tokyo,117,12.49
131.186.58.151,2052,2052,false,NRT,Asia Pacific,Tokyo,94,12.49
132.145.125.86,2096,2096,true,NRT,Asia Pacific,Tokyo,71,12.49
168.138.215.188,2083,2083,true,NRT,Asia Pacific,Tokyo,114,12.48
158.179.180.233,2086,2086,false,NRT,Asia Pacific,Tokyo,323,12.48
141.147.183.96,2053,2053,true,NRT,Asia Pacific,Tokyo,277,12.47
168.138.205.195,8880,8880,false,NRT,Asia Pacific,Tokyo,109,12.46
140.238.39.87,8080,8080,false,NRT,Asia Pacific,Tokyo,100,12.46
141.147.168.37,2083,2083,true,NRT,Asia Pacific,Tokyo,178,12.46
131.186.43.207,2096,2096,true,NRT,Asia Pacific,Tokyo,120,12.46
140.238.36.248,2082,2082,false,NRT,Asia Pacific,Tokyo,84,12.45
131.186.59.232,8443,8443,true,HKG,Asia Pacific,Hong Kong,164,12.44
132.145.123.14,2053,2053,true,NRT,Asia Pacific,Tokyo,90,12.43
131.186.37.49,8880,8880,false,NRT,Asia Pacific,Tokyo,96,12.43
132.145.123.143,2096,2096,true,NRT,Asia Pacific,Tokyo,93,12.43
132.145.126.21,2083,2083,true,NRT,Asia Pacific,Tokyo,79,12.43
158.180.78.121,443,443,true,SIN,Asia Pacific,Singapore,81,12.42
158.101.155.115,8443,8443,true,NRT,Asia Pacific,Tokyo,108,12.42
168.138.192.185,2052,2052,false,NRT,Asia Pacific,Tokyo,129,12.41
138.2.20.230,8443,8443,true,NRT,Asia Pacific,Tokyo,78,12.41
158.101.157.173,2053,2053,true,NRT,Asia Pacific,Tokyo,123,12.40
132.145.123.143,2052,2052,false,NRT,Asia Pacific,Tokyo,87,12.40
131.186.41.255,8443,8443,true,NRT,Asia Pacific,Tokyo,96,12.40
152.70.107.26,2082,2082,false,NRT,Asia Pacific,Tokyo,97,12.39
140.238.53.190,2095,2095,false,NRT,Asia Pacific,Tokyo,107,12.38
158.179.176.239,2087,2087,true,NRT,Asia Pacific,Tokyo,115,12.37
168.138.208.24,8443,8443,true,NRT,Asia Pacific,Tokyo,95,12.36
155.248.176.28,80,80,false,NRT,Asia Pacific,Tokyo,90,12.36
158.179.184.166,8443,8443,true,NRT,Asia Pacific,Tokyo,116,12.36
158.101.146.203,2053,2053,true,NRT,Asia Pacific,Tokyo,110,12.35
131.186.43.107,8080,8080,false,NRT,Asia Pacific,Tokyo,261,12.35
151.145.74.56,2087,2087,true,NRT,Asia Pacific,Tokyo,350,12.35
158.101.155.115,2086,2086,false,NRT,Asia Pacific,Tokyo,104,12.35
141.147.176.200,8880,8880,false,NRT,Asia Pacific,Tokyo,273,12.34
141.147.189.242,80,80,false,NRT,Asia Pacific,Tokyo,93,12.34
158.101.140.255,2053,2053,true,NRT,Asia Pacific,Tokyo,102,12.34
152.70.111.251,8080,8080,false,NRT,Asia Pacific,Tokyo,322,12.34
158.101.136.239,80,80,false,NRT,Asia Pacific,Tokyo,335,12.33
168.138.195.31,2052,2052,false,NRT,Asia Pacific,Tokyo,121,12.33
158.101.146.203,8880,8880,false,NRT,Asia Pacific,Tokyo,111,12.33
138.2.20.230,2083,2083,true,NRT,Asia Pacific,Tokyo,77,12.32
158.179.181.107,8443,8443,true,NRT,Asia Pacific,Tokyo,302,12.32
131.186.46.75,8443,8443,true,NRT,Asia Pacific,Tokyo,93,12.31
155.248.176.68,2052,2052,false,NRT,Asia Pacific,Tokyo,118,12.31
141.147.165.179,8880,8880,false,NRT,Asia Pacific,Tokyo,101,12.30
140.238.44.118,2087,2087,true,NRT,Asia Pacific,Tokyo,81,12.30
132.145.125.165,2096,2096,true,NRT,Asia Pacific,Tokyo,300,12.29
158.179.189.106,2053,2053,true,NRT,Asia Pacific,Tokyo,121,12.29
131.186.63.35,2052,2052,false,NRT,Asia Pacific,Tokyo,82,12.27
141.147.189.23,8443,8443,true,NRT,Asia Pacific,Tokyo,355,12.27
141.147.182.70,2053,2053,true,NRT,Asia Pacific,Tokyo,115,12.26
150.230.101.125,8080,8080,false,NRT,Asia Pacific,Tokyo,327,12.25
132.145.120.103,8080,8080,false,NRT,Asia Pacific,Tokyo,86,12.24
168.138.206.109,8080,8080,false,NRT,Asia Pacific,Tokyo,125,12.24
138.2.13.133,2083,2083,true,NRT,Asia Pacific,Tokyo,349,12.24
140.238.59.255,2052,2052,false,NRT,Asia Pacific,Tokyo,296,12.23
168.138.211.217,2087,2087,true,NRT,Asia Pacific,Tokyo,91,12.23
158.101.155.246,2082,2082,false,NRT,Asia Pacific,Tokyo,316,12.23
158.179.188.159,2096,2096,true,NRT,Asia Pacific,Tokyo,107,12.23
131.186.45.88,2053,2053,true,NRT,Asia Pacific,Tokyo,90,12.21
140.238.40.136,2083,2083,true,NRT,Asia Pacific,Tokyo,103,12.21
141.147.162.71,2087,2087,true,NRT,Asia Pacific,Tokyo,370,12.20
168.138.207.64,2083,2083,true,NRT,Asia Pacific,Tokyo,110,12.20
141.147.164.153,8080,8080,false,NRT,Asia Pacific,Tokyo,96,12.19
131.186.62.26,2082,2082,false,NRT,Asia Pacific,Tokyo,100,12.19
141.147.160.86,8880,8880,false,NRT,Asia Pacific,Tokyo,104,12.19
158.101.68.100,2052,2052,false,NRT,Asia Pacific,Tokyo,311,12.17
158.101.81.4,2086,2086,false,NRT,Asia Pacific,Tokyo,315,12.16
150.230.105.53,8880,8880,false,NRT,Asia Pacific,Tokyo,106,12.16
158.101.88.214,2086,2086,false,NRT,Asia Pacific,Tokyo,119,12.16
141.147.166.95,2082,2082,false,NRT,Asia Pacific,Tokyo,90,12.15
138.2.9.66,8443,8443,true,NRT,Asia Pacific,Tokyo,85,12.15
141.147.178.115,2082,2082,false,NRT,Asia Pacific,Tokyo,88,12.14
141.147.185.149,2053,2053,true,NRT,Asia Pacific,Tokyo,196,12.13
131.186.63.184,2082,2082,false,NRT,Asia Pacific,Tokyo,98,12.12
152.70.111.251,8443,8443,true,NRT,Asia Pacific,Tokyo,310,12.11
138.2.12.32,2095,2095,false,NRT,Asia Pacific,Tokyo,72,12.10
168.138.198.53,2053,2053,true,NRT,Asia Pacific,Tokyo,300,12.10
141.147.169.195,2086,2086,false,NRT,Asia Pacific,Tokyo,270,12.08
141.147.167.44,8080,8080,false,NRT,Asia Pacific,Tokyo,93,12.08
168.138.198.53,2096,2096,true,NRT,Asia Pacific,Tokyo,318,12.08
132.145.113.148,8080,8080,false,NRT,Asia Pacific,Tokyo,100,12.08
138.3.223.70,2087,2087,true,NRT,Asia Pacific,Tokyo,91,12.07
158.179.184.166,2095,2095,false,NRT,Asia Pacific,Tokyo,339,12.07
155.248.160.116,2086,2086,false,NRT,Asia Pacific,Tokyo,102,12.06
140.238.35.78,80,80,false,NRT,Asia Pacific,Tokyo,84,12.06
158.101.137.96,8080,8080,false,NRT,Asia Pacific,Tokyo,83,12.06
158.101.90.190,2095,2095,false,NRT,Asia Pacific,Tokyo,99,12.06
151.145.71.40,2095,2095,false,NRT,Asia Pacific,Tokyo,109,12.05
141.147.160.221,2083,2083,true,NRT,Asia Pacific,Tokyo,127,12.05
131.186.62.26,2086,2086,false,NRT,Asia Pacific,Tokyo,280,12.05
151.145.69.174,2052,2052,false,NRT,Asia Pacific,Tokyo,100,12.04
168.138.206.68,2095,2095,false,NRT,Asia Pacific,Tokyo,338,12.03
140.238.44.118,2095,2095,false,NRT,Asia Pacific,Tokyo,102,12.02
150.230.105.53,80,80,false,NRT,Asia Pacific,Tokyo,103,12.02
146.56.44.139,443,443,true,SIN,Asia Pacific,Singapore,105,12.02
131.186.37.191,2053,2053,true,NRT,Asia Pacific,Tokyo,341,12.02
141.147.167.44,2052,2052,false,NRT,Asia Pacific,Tokyo,106,12.02
141.147.165.179,2083,2083,true,NRT,Asia Pacific,Tokyo,106,12.01
158.101.157.173,8880,8880,false,NRT,Asia Pacific,Tokyo,116,12.01
168.138.206.236,80,80,false,NRT,Asia Pacific,Tokyo,309,12.01
152.70.249.198,443,443,true,SIN,Asia Pacific,Singapore,86,12.00
152.70.104.69,2083,2083,true,NRT,Asia Pacific,Tokyo,118,12.00
155.248.162.160,2086,2086,false,NRT,Asia Pacific,Tokyo,287,11.99
141.147.186.101,8443,8443,true,NRT,Asia Pacific,Tokyo,374,11.99
138.2.20.48,8080,8080,false,NRT,Asia Pacific,Tokyo,305,11.98
141.147.183.96,8080,8080,false,NRT,Asia Pacific,Tokyo,83,11.97
141.147.165.179,8080,8080,false,NRT,Asia Pacific,Tokyo,82,11.96
158.101.149.52,2053,2053,true,NRT,Asia Pacific,Tokyo,137,11.96
140.238.35.195,2082,2082,false,NRT,Asia Pacific,Tokyo,83,11.95
141.147.164.123,2087,2087,true,NRT,Asia Pacific,Tokyo,273,11.95
158.101.149.122,2083,2083,true,NRT,Asia Pacific,Tokyo,143,11.95
168.138.211.217,8443,8443,true,NRT,Asia Pacific,Tokyo,144,11.94
168.138.211.131,8080,8080,false,NRT,Asia Pacific,Tokyo,292,11.94
158.101.69.12,2082,2082,false,NRT,Asia Pacific,Tokyo,89,11.94
